withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,sub,age,gender,handedness,
5,5,main,44,36,2.1332997999998042,['n'],0,left,['0'],1,0.8988996999996743,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
6,5,main,44,36,1.30025089999981,['c'],1,left,['1'],6,0.17135370000050898,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
7,5,main,44,36,1.1997228999998697,['c'],1,left,['2'],5,0.9815376000005926,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
8,5,main,47,33,2.649245399999927,['n'],0,left,['3'],4,1.8601089000003412,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
9,5,main,44,36,0.9164803000003303,['c'],1,left,['3'],4,0.5339308000002347,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
10,5,main,47,33,1.3340427999992244,['c'],1,left,['2'],5,0.2351619999999457,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
11,5,main,27,53,1.0335812000002988,['n'],1,right,['1'],6,0.29684219999944617,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
12,5,main,33,47,0.8510285000002114,['n'],1,right,['1'],6,0.1869509999996808,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
13,5,main,27,53,0.9167866000007052,['n'],1,right,['1'],6,0.20742820000032225,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
14,5,main,53,27,1.167058399999405,['c'],1,left,['3'],4,0.8089020999996137,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
15,5,main,53,27,0.866726799999924,['c'],1,left,['3'],4,0.31065880000005563,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
16,5,main,47,33,4.434039000000666,['c'],1,left,['8'],3,3.145592700000634,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
17,5,main,53,27,0.8997141999998348,['c'],1,left,['3'],4,3.480370700000094,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
18,5,main,36,44,2.3175014999997074,['n'],1,right,['0'],1,2.369186799999625,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
19,5,main,33,47,1.0838390000008076,['n'],1,right,['1'],6,0.03931120000015653,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
20,5,main,27,53,1.5838028000007398,['n'],1,right,['1'],6,0.4712372999993022,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
21,5,main,47,33,1.0668303000002197,['c'],1,left,['1'],6,0.2182185000001482,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
22,5,main,27,53,0.6503654000007373,['n'],1,right,['1'],6,0.31139919999986887,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
23,5,main,44,36,2.383531800000128,['c'],1,left,['9'],2,2.8451850999999806,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
24,5,main,27,53,0.7836809000000358,['n'],1,right,['2'],5,0.7967126000003191,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
25,5,main,33,47,2.0663805000003777,['n'],1,right,['2'],5,0.10614080000050308,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
26,5,main,33,47,0.9332243999997445,['n'],1,right,['3'],4,2.4811565999998493,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
27,5,main,53,27,1.133690700000443,['c'],1,left,['1'],6,2.2095220999999583,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
28,5,main,47,33,2.06612320000022,['n'],0,left,['8'],3,2.8226801999999225,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
29,5,main,44,36,1.550555899999381,['c'],1,left,['2'],5,0.47280959999989136,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
30,5,main,36,44,2.9835879000002024,['n'],1,right,['2'],5,0.49515380000048026,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
31,5,main,36,44,1.251541300000099,['c'],0,right,['3'],4,3.417519700000412,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
32,5,main,47,33,0.866644599999745,['c'],1,left,['2'],5,1.9509194000002026,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
33,5,main,27,53,1.7334074000000328,['n'],1,right,['2'],5,0.6678065000005518,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
34,5,main,36,44,1.4165173000001232,['c'],0,right,['0'],1,1.1446760000007998,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
35,5,main,53,27,2.099565800000164,['n'],0,left,['2'],5,0.7441878999998153,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
0,6,main,33,47,1.3004416000003403,['n'],1,right,['2'],5,2.3299089000001914,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
1,6,main,53,27,1.583792500000527,['c'],1,left,['1'],6,0.14169590000074095,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
2,6,main,47,33,0.9010145000002012,['n'],0,left,['3'],4,0.8686656999998377,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
3,6,main,53,27,1.1165258000000904,['c'],1,left,['3'],4,0.6616324999995413,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
4,6,main,47,33,0.8993024999999761,['c'],1,left,['3'],4,0.2001129000000219,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
5,6,main,33,47,2.26575369999955,['n'],1,right,['3'],4,0.9175888999998278,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
6,6,main,44,36,2.7668917999999394,['c'],1,left,['2'],5,2.594569500000034,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
7,6,main,47,33,2.5500207000004593,['n'],0,left,['3'],4,2.261922300000151,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
8,6,main,36,44,0.6175067000003764,['n'],1,right,['3'],4,0.4191252999999051,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
9,6,main,33,47,1.7499800000005052,['n'],1,right,['3'],4,0.3327433000004021,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
10,6,main,27,53,1.3499424000001454,['n'],1,right,['3'],4,0.7457400999992387,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
11,6,main,36,44,0.7839046999997663,['n'],1,right,['3'],4,0.3647949999995035,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
12,6,main,44,36,1.9177018999998836,['n'],0,left,['2'],5,1.153918099999828,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
13,6,main,36,44,2.716625000000022,['n'],1,right,['9'],2,1.3353204999993977,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
14,6,main,27,53,1.6007674000002226,['n'],1,right,['3'],4,0.29032180000012886,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
15,6,main,44,36,1.400763999999981,['c'],1,left,['2'],5,1.3432769999999437,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
16,6,main,36,44,3.716363999999885,['n'],1,right,['2'],5,0.6302429000006669,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
17,6,main,44,36,0.9501124999997046,['c'],1,left,['2'],5,0.583085199999914,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
18,6,main,53,27,1.7339172000001781,['c'],1,left,['2'],5,0.8105262999997649,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
19,6,main,47,33,1.400229599999875,['c'],1,left,['2'],5,0.4188459999995757,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
20,6,main,27,53,0.7499831000004633,['n'],1,right,['1'],6,0.24461520000022574,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
21,6,main,36,44,2.5830754999997225,['n'],1,right,['9'],2,0.7081385999999839,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
22,6,main,36,44,2.1001915000006193,['n'],1,right,['9'],2,1.012786700000106,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
23,6,main,53,27,0.8510334000002331,['c'],1,left,['1'],6,0.6348789000003308,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
24,6,main,33,47,1.3167813000000024,['n'],1,right,['2'],5,0.6364825999999084,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
25,6,main,33,47,0.6169318000002022,['n'],1,right,['1'],6,0.26692170000023907,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
26,6,main,53,27,1.0998122000000876,['c'],1,left,['1'],6,0.4367446000005657,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
27,6,main,44,36,1.6166879000002154,['c'],1,left,['1'],6,0.3388629999999466,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
28,6,main,44,36,1.333350199999586,['n'],0,left,['9'],2,1.0885688999997,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
29,6,main,47,33,0.9168372999993153,['c'],1,left,['1'],6,0.43269210000016756,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
30,6,main,47,33,1.3000208999992537,['c'],1,left,['1'],6,0.33144089999950666,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
31,6,main,27,53,3.9005370000004405,['n'],1,right,['3'],4,0.7869863000005353,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
32,6,main,27,53,0.9329797999998846,['n'],1,right,['3'],4,0.2543763999992734,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
33,6,main,33,47,1.3667597000003298,['n'],1,right,['3'],4,0.7501629999997022,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
34,6,main,27,53,0.7513138000003892,['n'],1,right,['2'],5,0.45029840000006516,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
35,6,main,53,27,1.05023650000021,['c'],1,left,['1'],6,0.6466890000001513,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
0,7,main,27,53,0.7668489999996382,['n'],1,right,['1'],6,0.6568609999994806,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
1,7,main,44,36,1.3335581000001184,['n'],0,left,['2'],5,1.6813806000000113,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
2,7,main,53,27,1.634217499999977,['c'],1,left,['1'],6,0.2850307000007888,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
3,7,main,27,53,0.9334804999998596,['n'],1,right,['2'],5,8.284827899999982,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
4,7,main,44,36,1.1507393000001684,['c'],1,left,['1'],6,1.5886374000001524,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
5,7,main,53,27,1.4669995000003837,['c'],1,left,['2'],5,0.5549817000000985,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
6,7,main,44,36,3.4827060000006895,['c'],1,left,['8'],3,0.5546419000002061,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
7,7,main,33,47,1.2163935000007768,['n'],1,right,['2'],5,0.3719130999998015,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
8,7,main,33,47,0.6333849000002374,['n'],1,right,['2'],5,0.20411149999927147,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
9,7,main,47,33,1.2333467999997083,['c'],1,left,['1'],6,0.22701629999937722,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
10,7,main,27,53,1.267323000000033,['n'],1,right,['8'],3,0.9198861000004399,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
11,7,main,47,33,2.2336006000005,['c'],1,left,['3'],4,1.9463737000005494,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
12,7,main,33,47,1.0165440000000672,['n'],1,right,['9'],2,0.8841546000003291,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
13,7,main,53,27,3.899544699999751,['n'],0,left,['8'],3,1.9095760000000155,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
14,7,main,27,53,1.2835456000002523,['n'],1,right,['2'],5,0.48676829999931215,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
15,7,main,53,27,1.0335481000001892,['c'],1,left,['1'],6,0.2980524999993577,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
16,7,main,27,53,2.0333160000000134,['n'],1,right,['2'],5,0.6051634000004924,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
17,7,main,36,44,1.7334838999995554,['n'],1,right,['2'],5,0.5918754000003901,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
18,7,main,36,44,0.767111200000727,['n'],1,right,['8'],3,1.3542927999997119,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
19,7,main,53,27,1.183634400000301,['c'],1,left,['2'],5,0.5171886999996786,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
20,7,main,47,33,2.6832494999998744,['c'],1,left,['2'],5,1.2057838999999149,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
21,7,main,47,33,2.0502493000003597,['n'],0,left,['8'],3,6.036187700000482,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
22,7,main,33,47,1.1164696999994703,['n'],1,right,['2'],5,0.39123970000036934,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
23,7,main,47,33,1.4001711000000796,['c'],1,left,['1'],6,0.22421919999942475,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
24,7,main,33,47,0.7334986000005301,['n'],1,right,['1'],6,0.34633539999958884,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
25,7,main,47,33,4.067210000000159,['n'],0,left,['3'],4,0.4586214999999356,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
26,7,main,44,36,2.3167929999999615,['n'],0,left,['2'],5,1.0040565999997852,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
27,7,main,36,44,2.399353699999665,['c'],0,right,['8'],3,0.836377700000412,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
28,7,main,36,44,1.1830605000004653,['n'],1,right,['8'],3,0.3558954000000085,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
29,7,main,33,47,1.8837097999994512,['c'],0,right,['0'],1,1.531400300000314,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
30,7,main,44,36,1.582894000000124,['c'],1,left,['8'],3,0.6866077999993649,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
31,7,main,44,36,0.9339819999995598,['c'],1,left,['1'],6,0.8145235000001776,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
32,7,main,27,53,0.8335960999993404,['n'],1,right,['1'],6,0.39673429999947984,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
33,7,main,53,27,1.5504656999992221,['c'],1,left,['1'],6,0.2228238000006968,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
34,7,main,36,44,1.9832768999995096,['n'],1,right,['8'],3,2.167764700000589,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
35,7,main,36,44,1.7179024000006393,['n'],1,right,['9'],2,5.740384400000039,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
0,8,main,33,47,0.9494863999998415,['n'],1,right,['2'],5,3.7129176000007647,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
1,8,main,27,53,0.9502741999995123,['n'],1,right,['2'],5,0.47101259999999456,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
2,8,main,33,47,2.5168174999998882,['n'],1,right,['8'],3,1.247723400000723,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
3,8,main,53,27,1.3990459000006013,['c'],1,left,['2'],5,0.7583045000001221,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
4,8,main,47,33,0.900152999999591,['n'],0,left,['8'],3,1.364622099999906,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
5,8,main,33,47,0.7834046999996644,['n'],1,right,['2'],5,0.6867985999997472,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
6,8,main,44,36,1.116507400000046,['n'],0,left,['2'],5,0.6955358000004708,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
7,8,main,47,33,1.984533900000315,['n'],0,left,['2'],5,0.5884955000001355,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
8,8,main,47,33,1.3839550999991843,['n'],0,left,['2'],5,0.9578112999997757,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
9,8,main,36,44,0.8499886000008701,['n'],1,right,['2'],5,0.5664529999994556,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
10,8,main,53,27,0.9337107999999716,['c'],1,left,['2'],5,0.6669185999999172,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
11,8,main,36,44,1.0667016999996122,['n'],1,right,['8'],3,0.7095584000007875,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
12,8,main,36,44,1.0672187000000122,['n'],1,right,['8'],3,0.33505760000025475,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
13,8,main,44,36,1.733778099999654,['n'],0,left,['8'],3,0.5084640999994008,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
14,8,main,53,27,0.6835800999997446,['c'],1,left,['1'],6,0.1733831999999893,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
15,8,main,53,27,1.0670767999999953,['c'],1,left,['1'],6,0.252195699999902,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
16,8,main,47,33,1.667611400000169,['c'],1,left,['1'],6,0.8639970000003814,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
17,8,main,27,53,0.8835313000008682,['n'],1,right,['1'],6,0.2501807999997254,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
18,8,main,27,53,0.7171872999997504,['n'],1,right,['1'],6,0.4038887999995495,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
19,8,main,44,36,1.6665688000002774,['c'],1,left,['8'],3,1.8415076999999656,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
20,8,main,53,27,2.4328679999998712,['n'],0,left,['8'],3,0.4076679999998305,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
21,8,main,44,36,1.1170433000006597,['c'],1,left,['3'],4,4.107018299999254,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
22,8,main,36,44,0.8831700999999157,['n'],1,right,['2'],5,0.24435710000034305,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
23,8,main,44,36,1.6833299999998417,['c'],1,left,['3'],4,0.311859700000241,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
24,8,main,33,47,1.7667156999996223,['n'],1,right,['3'],4,0.6137779999999111,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
25,8,main,27,53,1.0164462000002459,['n'],1,right,['3'],4,0.9485735999996905,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
26,8,main,27,53,0.8174504999997225,['n'],1,right,['2'],5,0.3022914999992281,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
27,8,main,33,47,0.5502068999994663,['n'],1,right,['2'],5,0.28422610000052373,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
28,8,main,27,53,0.6332009999996444,['n'],1,right,['1'],6,0.3598521999992954,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
29,8,main,36,44,1.3831471000003148,['n'],1,right,['2'],5,0.16301609999936773,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
30,8,main,36,44,2.433336500000223,['c'],0,right,['0'],1,0.827248800000234,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
31,8,main,33,47,0.8339138999999705,['n'],1,right,['2'],5,0.3615233000000444,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
32,8,main,47,33,0.7342533999999432,['c'],1,left,['3'],4,0.7824079000001802,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
33,8,main,44,36,0.9336786000003485,['c'],1,left,['2'],5,0.49041510000006383,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
34,8,main,47,33,1.1507312999992791,['c'],1,left,['2'],5,0.6009401000001162,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
35,8,main,53,27,0.816848100000243,['c'],1,left,['1'],6,0.32048570000006293,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
0,0,training,23,57,1.2506381000002875,['n'],1,right,['2'],5,2.795158099999753,[-0.11637374],78.0,57,medium,control,shape,alpha,6,19,V,R,
1,0,training,18,62,2.116056399999252,['c'],0,right,['3'],4,1.5503179999996064,[-0.28913857],2.0,62,easy,control,shape,alpha,6,19,V,R,
2,0,training,23,57,1.4334882000002835,['n'],1,right,['2'],5,1.4855452000001605,[-0.35045451],99.0,57,medium,control,shape,alpha,6,19,V,R,
3,0,training,49,31,2.300466800000322,['c'],1,left,['3'],4,1.1169622000006711,[0.18072393],96.0,49,hard,control,shape,alpha,6,19,V,R,
4,0,training,49,31,1.3502898000006098,['c'],1,left,['3'],4,0.4655118999999104,[0.03049092],69.0,49,hard,control,shape,alpha,6,19,V,R,
5,0,training,23,57,0.9666227999996408,['n'],1,right,['2'],5,0.847944400000415,[-0.16545249],96.0,57,medium,control,shape,alpha,6,19,V,R,
6,0,training,18,62,0.9341899000000922,['n'],1,right,['2'],5,0.23963280000043596,[-0.12281515],99.0,62,easy,control,shape,alpha,6,19,V,R,
7,0,training,57,23,1.3834170999998605,['c'],1,left,['3'],4,0.48583850000068196,[0.15519239],98.0,57,medium,control,shape,alpha,6,19,V,R,
8,0,training,62,18,2.6504098000004888,['c'],1,left,['3'],4,0.4956390999996074,[0.10646528],94.0,62,easy,control,shape,alpha,6,19,V,R,
9,0,training,31,49,2.033687600000121,['n'],1,right,['3'],4,1.0423233999999866,[-0.14107364],92.0,49,hard,control,shape,alpha,6,19,V,R,
10,0,training,49,31,2.0168377999998484,['c'],1,left,['3'],4,0.4315475000003062,[0.11011536],95.0,49,hard,control,shape,alpha,6,19,V,R,
11,0,training,57,23,1.5998997000006057,['c'],1,left,['3'],4,0.3901014999992185,[0.1091269],96.0,57,medium,control,shape,alpha,6,19,V,R,
12,0,training,62,18,2.2997427000000243,['c'],1,left,['3'],4,1.4097209999999905,[0.3512639],100.0,62,easy,control,shape,alpha,6,19,V,R,
13,0,training,18,62,1.5004532000002655,['n'],1,right,['2'],5,0.2282245000005787,[-0.1037926],98.0,62,easy,control,shape,alpha,6,19,V,R,
14,0,training,57,23,1.2676933000002464,['n'],0,left,['2'],5,0.4159825999995519,[-0.06514056],86.0,57,medium,control,shape,alpha,6,19,V,R,
15,0,training,18,62,3.417608900000232,['c'],0,right,['3'],4,0.28666160000011587,[-0.01791949],35.0,62,easy,control,shape,alpha,6,19,V,R,
16,0,training,57,23,1.650247099999433,['c'],1,left,['3'],4,0.20044870000037918,[0.10473538],99.0,57,medium,control,shape,alpha,6,19,V,R,
17,0,training,31,49,1.6165336000003663,['c'],0,right,['2'],5,0.5836331000000428,[-0.01406039],42.0,49,hard,control,shape,alpha,6,19,V,R,
18,0,training,23,57,0.8331051999994088,['n'],1,right,['3'],4,0.646317600000657,[-0.19665184],99.0,57,medium,control,shape,alpha,6,19,V,R,
19,0,training,57,23,6.14916009999979,['c'],1,left,['3'],4,0.5741747000001851,[0.03669221],70.0,57,medium,control,shape,alpha,6,19,V,R,
20,0,training,62,18,1.5843340999999782,['n'],0,left,['3'],4,0.6232038999996803,[-0.02573073],64.0,62,easy,control,shape,alpha,6,19,V,R,
21,0,training,62,18,2.0668150999999853,['c'],1,left,['2'],5,0.6833554000004369,[0.09604529],89.0,62,easy,control,shape,alpha,6,19,V,R,
22,0,training,18,62,3.3655076000004556,['n'],1,right,['9'],2,0.9603307999996105,[-0.37318958],100.0,62,easy,control,shape,alpha,6,19,V,R,
23,0,training,57,23,0.9324849000004178,['c'],1,left,['3'],4,0.4600331000001461,[0.1231917],96.0,57,medium,control,shape,alpha,6,19,V,R,
24,0,training,49,31,0.9168736000001445,['c'],1,left,['3'],4,4.12473189999946,[0.1281993],76.0,49,hard,control,shape,alpha,6,19,V,R,
25,0,training,18,62,4.834021300000131,['c'],0,right,['2'],5,0.7490864999999758,[-0.0536748],25.0,62,easy,control,shape,alpha,6,19,V,R,
26,0,training,62,18,1.4167891999995845,['c'],1,left,['2'],5,0.26952149999942776,[0.10302808],97.0,62,easy,control,shape,alpha,6,19,V,R,
27,0,training,31,49,2.116206300000158,['c'],0,right,['8'],3,2.8526136999998926,[-0.08049333],30.0,49,hard,control,shape,alpha,6,19,V,R,
28,0,training,49,31,0.9501037999998516,['n'],0,left,['2'],5,0.6594924999999421,[-0.13311515],95.0,49,hard,control,shape,alpha,6,19,V,R,
29,0,training,31,49,3.2832558000000063,['n'],1,right,['3'],4,0.7014116999998805,[-0.04618077],73.0,49,hard,control,shape,alpha,6,19,V,R,
30,0,training,62,18,3.682915499999581,['n'],0,left,['0'],1,6.293490200000633,[0.72845001],1.0,62,easy,control,shape,alpha,6,19,V,R,
31,0,training,23,57,3.4661643999997978,['c'],0,right,['3'],4,2.261351800000739,[-0.16668543],12.0,57,medium,control,shape,alpha,6,19,V,R,
32,0,training,49,31,0.9834711000003153,['c'],1,left,['2'],5,0.7943255000000136,[0.09336964],87.0,49,hard,control,shape,alpha,6,19,V,R,
33,0,training,23,57,1.0668735999997807,['c'],0,right,['2'],5,0.4874082999995153,[0.03596317],72.0,57,medium,control,shape,alpha,6,19,V,R,
34,0,training,31,49,2.4999242000003505,['n'],1,right,['9'],2,0.6157381000002715,[-0.06717169],82.0,49,hard,control,shape,alpha,6,19,V,R,
35,0,training,31,49,1.0001820999996198,['c'],0,right,['2'],5,0.5903984999995373,[-0.01089494],44.0,49,hard,control,shape,alpha,6,19,V,R,
0,1,training,62,18,1.8003553000007742,['c'],1,left,['1'],6,7.520844200000283,[1.63024357],100.0,62,easy,control,shape,alpha,6,19,V,R,
1,1,training,23,57,4.066599800000404,['n'],1,right,['2'],5,3.175833500000408,[-0.40257233],98.0,57,medium,control,shape,alpha,6,19,V,R,
2,1,training,18,62,1.0838834999995015,['n'],1,right,['2'],5,0.2925509000006059,[-0.04337062],81.0,62,easy,control,shape,alpha,6,19,V,R,
3,1,training,49,31,1.2671754000002693,['n'],0,left,['9'],2,4.973494400000163,[0.52149188],1.0,49,hard,control,shape,alpha,6,19,V,R,
4,1,training,31,49,4.314979599999788,['c'],0,right,['2'],5,3.7771566999999777,[0.21236105],88.0,49,hard,control,shape,alpha,6,19,V,R,
5,1,training,18,62,1.0501352999999654,['n'],1,right,['1'],6,0.23023659999944357,[-0.11273886],99.0,62,easy,control,shape,alpha,6,19,V,R,
6,1,training,57,23,1.4656080000004295,['c'],1,left,['2'],5,0.6021310999994967,[0.12416939],95.0,57,medium,control,shape,alpha,6,19,V,R,
7,1,training,49,31,1.1167052000000695,['n'],0,left,['3'],4,0.6206879999999728,[0.05904322],21.0,49,hard,control,shape,alpha,6,19,V,R,
8,1,training,62,18,1.1833589999996548,['c'],1,left,['3'],4,1.0838475000000471,[0.37816331],100.0,62,easy,control,shape,alpha,6,19,V,R,
9,1,training,31,49,1.149851099999978,['n'],1,right,['2'],5,0.2656634999993912,[-0.02278099],69.0,49,hard,control,shape,alpha,6,19,V,R,
10,1,training,62,18,0.8164644999997108,['n'],0,left,['0'],1,0.9495495000001029,[0.18980077],3.0,62,easy,control,shape,alpha,6,19,V,R,
11,1,training,18,62,1.1498295000001235,['n'],1,right,['1'],6,4.552544900000612,[-0.76753379],100.0,62,easy,control,shape,alpha,6,19,V,R,
12,1,training,57,23,1.9664728000007017,['c'],1,left,['1'],6,2.9383315000004586,[0.32212522],97.0,57,medium,control,shape,alpha,6,19,V,R,
13,1,training,57,23,1.085125099999459,['c'],1,left,['1'],6,0.3200232999997752,[0.07761541],92.0,57,medium,control,shape,alpha,6,19,V,R,
14,1,training,62,18,0.9665784999997413,['c'],1,left,['1'],6,0.17928949999986799,[0.13450433],100.0,62,easy,control,shape,alpha,6,19,V,R,
15,1,training,23,57,3.2159676999999647,['n'],1,right,['2'],5,0.466935100000228,[-0.11864617],96.0,57,medium,control,shape,alpha,6,19,V,R,
